score,domain,https,mobile,builder,year,email,phone,reason
2,appliancerepairservicesofjacksonville.com,yes,yes,GoDaddy,2018,ApplianceRepairServicesofJax@gmail.com,904-842-3992,"the site looks unmaintained — the footer still shows 2018"
1,callbrunos.com,yes,yes,GoDaddy,2025,,941-585-8380,"the site is dated and plain — a modern refresh would stand out"
0,fappliancerepair.com,yes,yes,-,2026,flarepairservice@gmail.com,786-703-6379,"the site is dated and plain — a modern refresh would stand out"
0,kingdomappliancerepairfl.com,yes,yes,-,2026,,(941) 347-9390,"the site is dated and plain — a modern refresh would stand out"
0,topnotchmarine.com,yes,yes,-,,,888-278-1991,"the site is dated and plain — a modern refresh would stand out"
0,boatrepairmiamifl.com,yes,yes,-,2026,boatrepairmiamifl@gmail.com,305-290-2701,"the site is dated and plain — a modern refresh would stand out"
0,boatersedge.net,yes,yes,-,2026,boatersedge@gmail.com,(321) 383-4173,"the site is dated and plain — a modern refresh would stand out"
0,certifiedmarineoutboards.com,yes,yes,Squarespace,,,(305) 282-5283,"the site is dated and plain — a modern refresh would stand out"
0,egmarineservices.com,yes,yes,-,2026,info@egmarineservices.com,786-351-5363,"the site is dated and plain — a modern refresh would stand out"
0,kissimmeevalleyfeed.com,yes,yes,-,2026,,407-957-4100,"the site is dated and plain — a modern refresh would stand out"
2,floridafarmandfeed.com,yes,yes,-,2026,floridafarmfeed@gmail.com,,"the site is dated and plain — a modern refresh would stand out"
1,daviefeedstore.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
3,floridafarmandranchsupply.com,yes,yes,-,2026,,,"the site is dated and plain — a modern refresh would stand out"
0,hardeeranchsupplyinc.com,yes,yes,-,2026,wcook@landolakes.com,(863) 773-4322,"the site is dated and plain — a modern refresh would stand out"
2,robbiesfeed.com,yes,yes,-,2026,sales@robbiesfeed.com,305-247-1256,"the site is dated and plain — a modern refresh would stand out"
2,bunnellfeedandsupply.com,yes,yes,-,2018,,(386) 437-2032,"the site looks unmaintained — the footer still shows 2018"
0,winningcirclefeed.com,dead,,,,,,"did not load"
1,futralsfeedstore.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
0,teampoolworks.com,yes,yes,-,2026,,(863) 967-2863,"the site is dated and plain — a modern refresh would stand out"
0,mypoolrepairs.com,yes,yes,-,,mypoolrepairs@gmail.com,352-535-0349,"the site is dated and plain — a modern refresh would stand out"
0,ontimepoolservice.com,yes,yes,-,2026,info@heritage485.com,(941) 224-0404,"the site is dated and plain — a modern refresh would stand out"
0,citywidepoolsgainesville.com,yes,yes,-,,citywidepoolserviceinc@yahoo.com,(352) 565-4899,"the site is dated and plain — a modern refresh would stand out"
0,poolsnextdoor.com,yes,yes,-,2025,,(727) 275-2109,"the site is dated and plain — a modern refresh would stand out"
0,myfloridapoolservices.com,yes,yes,-,2024,floridapoolweb@gmail.com,407-680-9749,"the site is dated and plain — a modern refresh would stand out"
0,billjacksons.com,yes,yes,-,2026,,727-576-4169,"the site is dated and plain — a modern refresh would stand out"
1,gbaguns.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
6,leadfeatherguns.com,yes,yes,-,2021,,863-875-8989,"the site looks unmaintained — the footer still shows 2021"
1,floridagunexchange.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
2,gunrange.net,yes,yes,Wix,2018,,352-787-4570,"the site looks unmaintained — the footer still shows 2018"
