score,domain,https,mobile,builder,year,email,phone,reason
0,tvrepairxpress.com,yes,yes,GoDaddy,2025,hello@rfuenzalida.com,561-852-1222,"the site is dated and plain — a modern refresh would stand out"
0,flelectronicrep.com,dead,,,,,,"did not load"
2,royalhdtv.com,yes,yes,-,2026,service@royalhdtv.com,386-756-1775,"the site is dated and plain — a modern refresh would stand out"
0,repairmiamiflorida.com,yes,yes,-,2026,info@repairmiamiflorida.com,(786) 399-0977,"the site is dated and plain — a modern refresh would stand out"
0,sunsetfeed.com,yes,yes,-,2026,Big-Green-Egg-@-Sunset-Feed.gif,305-271-0341,"the site is dated and plain — a modern refresh would stand out"
1,floridamonumentco.com,yes,yes,-,2026,floridamonument@icloud.com,(386) 754-5911,"the site is dated and plain — a modern refresh would stand out"
0,gainesvillemonument.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
2,floridamonument.com,yes,yes,-,2016,information@floridamonument.com,727-786-1551,"the site looks unmaintained — the footer still shows 2016"
0,citymonumentcompany.com,yes,yes,-,2026,carlos@citymonumentcompany.com,305-594-4628,"the site is dated and plain — a modern refresh would stand out"
0,smjaxfl.com,yes,yes,-,2026,southernmonument@comcast.net,(904) 626-7555,"the site is dated and plain — a modern refresh would stand out"
0,stokesmonuments.com,yes,yes,Wix,,memorials@stokesmonuments.com,407-841-3986,"the site is dated and plain — a modern refresh would stand out"
0,sfmonuments.net,yes,yes,Wix,,bryan@sfmonuments.net,(561) 735-2201,"the site is dated and plain — a modern refresh would stand out"
8,floridawellservice.com,no,yes,-,2017,,(999) 999-9999,"the site loads without HTTPS, so browsers show visitors a "Not Secure" warning"
0,tampawelldrilling.com,yes,yes,-,,office@tampawelldrilling.com,813-971-4512,"the site is dated and plain — a modern refresh would stand out"
0,northfloridawatersystems.com,yes,yes,-,2026,,(352) 231-7867,"the site is dated and plain — a modern refresh would stand out"
3,fussellwelldrilling.com,yes,yes,Squarespace,,Lisa@fussellwelldrilling.com,(863) 984-3144,"the site still uses Flash, which no current browser supports"
0,partridgewell.com,yes,yes,-,2026,info@pwdfl.com,904-269-1333,"the site is dated and plain — a modern refresh would stand out"
0,dunhamwelldrilling.com,yes,yes,-,2026,george@dunhamwelldrilling.com,(863) 965-2881,"the site is dated and plain — a modern refresh would stand out"
0,brotherswelldrilling.com,yes,yes,Squarespace,2026,info@brotherswelldrilling.com,407-328-8221,"the site is dated and plain — a modern refresh would stand out"
0,sheffields-inc.com,yes,yes,-,,drilling@sheffields-inc.com,386-454-9355,"the site is dated and plain — a modern refresh would stand out"
0,pbwelldrilling.com,yes,yes,Weebly,,pbwelldrilling@gmail.com,(561) 718-1102,"the site is dated and plain — a modern refresh would stand out"
0,earlswelldrilling.net,yes,yes,-,,earlswd@gmail.com,352-245-2324,"the site is dated and plain — a modern refresh would stand out"
0,williamson-machine.com,yes,yes,-,,contact@williamson-machine.com,(904) 816-2470,"the site is dated and plain — a modern refresh would stand out"
3,panhandlemachine.com,yes,yes,GoDaddy,2021,,(850) 529-8880,"the site looks unmaintained — the footer still shows 2021"
0,jaxmachine.com,yes,yes,-,2026,,904-358-1900,"the site is dated and plain — a modern refresh would stand out"
0,firstcoastwelding.com,yes,yes,-,2026,fcwjax1@gmail.com,904-628-9120,"the site is dated and plain — a modern refresh would stand out"
0,craftworxwelding.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
0,stjohnsmobilewelding.com,yes,yes,-,2025,,(904) 429-2294,"the site is dated and plain — a modern refresh would stand out"
0,wrightweldfab.com,yes,yes,-,,info@wrightweldfab.com,904-576-1117,"the site is dated and plain — a modern refresh would stand out"
2,vikingweldingllc.com,yes,yes,Wix,2012,vikingweldingfabrication@gmail.com,904-234-5964,"the site looks unmaintained — the footer still shows 2012"
0,ocalabailbonds.com,yes,yes,-,2026,a1bailbondsocala@gmail.com,352-732-2808,"the site is dated and plain — a modern refresh would stand out"
0,firstmindbailbond.com,yes,yes,-,2026,kamey@firstmindbailbond.com,520.866-1920,"the site is dated and plain — a modern refresh would stand out"
